Index,Question Text,Answer,Difficulty,Prompts
17,"The name of the dwarf planet previously known as ""Planet X"" was inspired in part by the initials of an astronomer associated with this House, whose early 20th‑century work on planetary orbits predicted the existence of Pluto. This House hosts one of New England’s longest-running student opera companies, producing full operas entirely staged and directed by undergraduates. Its dining hall walls feature portraits of family members including a Pulitzer‑winning poet and various other members of the house's namesake Boston Brahmin family. (*) From 1998 to 2018, the faculty deans of this House were the first same-sex couple to serve as deans of any Harvard College residence. This house is best known for its blue-capped tower containing a set of Russian bells rescued from the Danilov Monastery in Moscow, whose notes are rung to mark special occasions and echo across the Charles River. For 10 points, name the first and best undergraduate house at Harvard.",Lowell House;Lowell;Best House,1,
18,"This residence was formed in 1931 by combining two 1913 freshman dormitories along Mill Street, making it one of Harvard’s original River Houses. Its namesake family includes colonial governors, and its design draws heavily from English Baroque architecture, with brick façades, stone trim, and a stepped entrance. The House underwent major renovations in the 2010s, which added an all-suite wing, restored historic woodwork, and expanded the fifth-floor rooftop common room overlooking the Charles River. (*) Its dining hall retains its original black-and-white checkerboard marble floors and vaulted wood ceiling, giving it one of the most visually distinctive dining spaces among Harvard undergraduate Houses. Notable alumni include John F. Kennedy, Canadian Prime Minister Mark Carney, and several Pulitzer Prize winners who lived here as undergraduates. For 10 points, name this Harvard College undergraduate residential House located along the Charles River, represented by the lion mascot.",Winthrop House;Winthrop;Throp;Best House,1,
19,"This house’s low-rise section includes a pottery studio, wood‑turning studio, and art gallery, one of only two such residential art spaces at Harvard. It hosts annual themed events in its dining hall, including the now-famous “Lather” foam party. (*)  Notable alumni of this house include political philosopher Cornel West and comedian Conan O'Brien. Its nineteen-story Brutalist concrete tower makes it the tallest and most visually distinctive undergraduate house at Harvard. In this house, students are famously guaranteed single-occupany housing for all three years of their upperclassman residency. For 10 points, name this ""good"" Harvard undergraduate house overlooking the Charles River, represented by the gorilla.",Mather House;Mather;Best House,1,
20,"Opened in 1970 and built on the former Radcliffe Quadrangle, this residence’s four towers are each named after distinguished Radcliffe alumnae such as Barbara Tuchman and Mary Bingham. Its motto, Timete Arborem, is a reference to this House's inanimate mascot. One coveted suite in this house is called the 'Ten‑Man' and surrounds Harvard’s largest in‑suite common room. (*) It is the only Harvard undergraduate house named after a woman. A central plant‑lined fountain in this house's dining hall has made it known among students for its communal atmosphere, and its large “Fishbowl” common space includes a big‑screen projector and surround‑sound system installed in a major renovation. For 10 points, name this Harvard ""Quad"" house whose shield bears a tree.",Currier House;Currier;Best House,1,
21,"This House was formed in 1970 by merging four former Radcliffe College dormitories: Comstock, Holmes, Moors, and Wolbach. One building in this house contains a distinctive bell tower suite, a large multi‑room living space with expansive views that was once the site where Mark Zuckerberg met his future wife as undergraduates. (*) Residents of this house maintain the tradition of “Pf-ing” words in house culture, creating nicknames like “PfD Hall” and “Pffamily” for common spaces and social groups. This house is also home to the Quad Grill, the only late-night student-run eatery in the Radcliffee Quadrangle. For 10 points, name this ""Pfohome"" to polar bears on Harvard's campus.",Pforzheimer House;Pforzheimer; Pfoho;Best House,1,
22,"During the academic year, Harvard University Dining Services serves approximately 3,400 meals in this building each day, the most of any campus servery. Upperclassmen at Harvard College can only utilize their meal plan swipes to eat in this building's main servery during breakfast hours, although they can pick up to-go lunchtime meals in its basement ""Flyby"" room. (*) The basement of this building includes the Queen’s Head Pub, a former student-run alcohol venue that now functions as a space for college-run events and as the Harvard-Yale game ticket will-call. This building comprises one section of a 9,000‑square‑foot Gothic‑inspired hall that features hammerbeam trusses, vaulted ceilings, walnut paneling, and stained glass windows that pay tribute to scholars, writers, and military figures, giving it an aesthetic often compared to the Great Hall of Harry Potter. For 10 points, name this freshman dining hall at Harvard College, lovingly referred to as ""Berg"" by its first-year frequenters.",Annenberg Hall;Annenberg;Berg,1,Mem Hall;Memorial Hall
23,"This course cannot be taken for credit if COMPSCI 1090A, COMPSCI 1090B, APCOMP 209A, APCOMP 209B, STAT 109A, or STAT 109B has already been completed. No prior experience in computer science or programming is required for enrollment in this course, which serves as an alternative to CS50 for fulfilling introductory computer science requirements at Harvard. The textbook for this course is written by Professor Michael Smith and features frequent references to his golden retriever, Cosmo. (*) Academic materials in this course are split into three ""acts"" increasing in difficulty and culimating in a comprehensive final project. This popular course taught at Harvard College is currently led by Professor Kitty Ascrizzi. For 10 points, name this Harvard undergraduate course that teaches computational thinking and programming, for which the script you are currently running was created.",CS32: Computational Thinking and Problem Solving;CS32;CompSci32;CS 32;CompSci 32,1,CS;CompSci;Computer Science;CS50
24,"This organization’s archives include early issues printed on a hand-operated press in 1876, and its members once staged a 1950s “kidnapping” of the Sacred Cod from the Massachusetts State House as a publicity stunt. In the 1960s, its national offshoot helped launch a humor brand that later produced Animal House and Vacation. (*) This group’s headquarters, often referred to as a ""castle,"" includes a mock-Ivy-covered brick building topped with a small copper ibis, and is the site of initiation rituals historically involving elaborate, often secretive pranks. Its alumni include Conan O'Brien and Colin Jost, and it publishes a long-running undergraduate humor magazine at Harvard. For 10 points, name this semi-secret Harvard publication.",The Harvard Lampoon;The Lampoon;Harvard Lampoon;Lampoon,2,
25,"In one episode of this series, a character’s Harvard master’s degree in Folklore and Mythology is belittled for being ""wacky."" Another subplot in this show shows a character attempting to win a Harvard diploma from a claw machine, while in a different episode, a Harvard satellite is depicted spying on a student after she receives a failing grade. (*) In another gag, this show’s ultra-violent cartoon-within-a-show is jokingly said to be written by Harvard graduates, a self-referential nod to this series’ own writing staff. That cartoon is called the Itchy & Scratchy Show. Numerous writers for this show, including Conan O'Brien, graduated from Harvard and incorporated references to the university into episodes during the show’s early “golden age.” For 10 points, name this long-running animated series that features a family living in Springfield, including characters like Lisa, Bart, Marge, and Homer.",The Simpsons;Simpsons,3,
26,"In 1968, students disrupted this event by occupying the field in protest of the Vietnam War. Other interruptions to this annual matchup have included elaborate “hacks” by neighboring MIT students, most famously when they replaced the Harvard Stadium scoreboard’s VE-RI-TAS lettering with the inflamatory phrase ""HU-GE-EGO,"" drawing national attention and cementing their reputation for audacious pranks. Legendary games include a 29–29 tie and last-minute touchdowns that became part of Ivy League lore. (*) Tailgating traditions and alumni pilgrimages accompany this event, which is held in Cambridge, New Haven, and, occassionally, Boston's Fenway Park. For 10 points, name this annual sporting event.",The Game;Harvard-Yale;Harvard Yale;The Harvard-Yale Game;The Harvard Yale Game;Harvard-Yale Game;Harvard Yale Game;Yale-Harvard;Yale Harvard;The Yale-Harvard Game; The Yale Harvard Game;Yale-Harvard Game;Yale Harvard Game,1,
27,"A recent Bollywood movie titled after this two word phrase has the year “2050” appended to its title. In one song with this title, the singer refers to herself as a “scarlet letter”. A film with this title sees a Harvard Law student struggle with his wife’s cancer and his relationship with his father, Oliver Barrett III. In the aforementioned song, the singer commands, “Romeo, take me somewhere we can be alone,” and exhorts its addressee to “just say yes.” For 10 points, name this phrase that titles a Taylor Swift song and a drama that says that the title emotion “means never having to say you’re sorry.”",Love Story,2,
28,"A man who tried to steal one of these objects from Harvard in 1969 was foiled when he was knocked unconscious falling from a window. One of these objects now in Tokyo’s Keio University was briefly stolen from Berkeley in 1982. One of these objects known as Number 45 was bought from the heir of the Worcestershire sauce business by Estelle Doheny for $72,000 in 1950 and sold to a Japanese company in 1987 for $5.4 million. A museum named for the creator of these objects contains the (+) Shuckburgh example of them. These objects are sometimes named for Cardinal Mazarin, as the first complete example of one was found in Mazarin’s archive. A 2008 exhibition allowed visitors to see the differences between the three of these objects at the (*) Morgan, including one decorated by the Fust Master. Later editions of these objects left space for manual rubrication rather than using printed headings. These objects are sometimes known as B42 for the number of lines per page in them. For 10 points, name this early printed text by a man who set up a printing press in Mainz.",Gutenberg Bible;The Gutenberg Bible;Mazarin Bible;42-line Bible,3,Bible;Book;Old Testament
29,"This justice may have been nominated to the Supreme Court after the president watched him give a speech at Harvard titled ""The Soldier's Faith."" An article by Zechariah Chafee criticizing an opinion by this justice may have influenced his dissent in Abrams v. US. In his dissent on a case concerning the constitutionality of the Bakeshop Act, this justice declared, ""the Fourteenth Amendment does not enact Mr. Herbert Spencer's Social Statics."" (*) This dissenter in Lochner v. New York introduced the ""clear and present danger"" test in Schenck v. US, where he wrote that free speech would not protect someone ""shouting fire in a crowded theater."" For 10 points, name this associate justice of the Supreme Court and son of a famous poet.","Oliver Wendell Holmes Jr.;Oliver Wendell Holmes;Holmes;Oliver Wendell Holmes, Jr.",3,
30,"In a novel with this title, the protagonist asks, “What do we do with this, hang ourselves?” upon receiving an ethernet cable on move-in day at Harvard. Selin later uses that cable to email her boyfriend Ivan in that novel with this title. After an author swore off art and culture while living in Florence, he wrote a novel with this title which declares that Europe is “one big fantasy,” and that “beauty will save the world.” Elif Batuman’s only novel has this title, as does a novel whose protagonist accidentally smashes a (*) Chinese vase while denouncing the Catholic Church in one of his many rants. That novel of this title ends after a man stabs Nastasya Filippovna in the heart and begins with its protagonist emerging Christ-like from a Swiss sanatorium after treatment for epilepsy. For 10 points, give this title of a novel by Fyodor Dostoyevsky about the simple-minded Prince Myshkin.",The Idiot;Idiot,3,
31,"This man and Samuel Warren wrote an article denouncing ""snapshot photography"" and its weakening of ""moral standards."" He was the driving force behind Massachusetts's Savings Bank Insurance League, a reform-minded attempt at providing life insurance. This man's dissent in Olmstead v. United States drew upon an article he wrote for the Harvard Law Review literally titled ""The Right to Privacy."" Along with Justices Cardozo and Stone, he was one of the ""Three Musketeers"" that opposed the Four Horsemen. The upholding of a law restricting women's working hours in the case of Muller v. Oregon relied heavily on this man's namesake brief. For 10 points, name this first Jewish Supreme Court justice.",Louis Brandeis;Brandeis,3,
32,"The Brookings Institute outlined this program’s details in a 20-page report compiled at the request of Senator Arthur Vandenberg. This program overrode an earlier plan proposed by the Secretary of Treasury Henry Morgenthau. This initiative was announced in a Harvard commencement speech given by its namesake. The (*) Soviet Union and the Eastern Bloc rejected this program and instead developed the Molotov Plan. By 1951, almost $13 billion were spent on this program, the largest beneficiary of which was the United Kingdom. For 10 points, name this American economic aid program to Western Europe following World War II.",The Marshall Plan;Marshall Plan;The European Recovery Program;European Recovery Program;the ERP;ERP,,
33,"Variations in this material’s “headers” and “stretchers” form different kinds of “bonds.” At the University of Virginia, Thomas Jefferson used this material in a “serpentine” pattern. Christopher Wren inserted a cone of this material between the inner and outer domes of St. Paul’s Cathedral. This is the most prominent material in the Federal-style (*) Georgian architecture of Harvard University. Skyscrapers in this material include the Chrysler and Wainwright buildings. This material, along with stone and concrete blocks, is a typical component of masonry. For 10 points, name this material usually consisting of rectangular blocks of fired clay laid in mortar.",brick;bricks;brickwork,1,masonry
34,"In a short story by this man, the protagonist is rejected by Yale for appearing too old, but later joins Harvard when he is almost 30 years older. In another of this writer’s short stories, a girl takes revenge on her cousin Marjorie by chopping off her braids. Meyer Wolfsheim claims to have fixed the 1919 World Series in a novel by this author, in which Tom Buchanan’s lover Myrtle is run over by Tom's wife Daisy, who is driving her lover Jay’s car. “The Curious Case of Benjamin Button” and “Bernice Bobs Her Hair” are by, for 10 points, what author of The Great Gatsby?",F Scott Fitzgerald;Francis Scott Fitzgerald;F. Scott Fitzgerald; Fitzgerald,3,
35,"This man argued that consciousness is more fluid than a chain of ideas as previously described, thus coining the phrase “stream of consciousness”. (*) This Harvard professor famously contrasted the ""healthy-minded temperament"" among some zealots with the ""sick soul"" of others. He is famous for creating one of the first psychology labs in the United States and is the namesake for the Harvard University ""Hall"" housing many psychology labs to this day. For 10 points, name this American professor of philosophy and psychology, who wrote ""The Will to Believe"" and Pragmatism.",William James;James,3,William James Hall
36," One character in this novel believes only courage and shrewdness are required to be successful, the former of which he has and the latter of which he can acquire. Another character in this novel nails himself in his attic and starves to death after his store is looted. After putting down a slave rebellion in Haiti, a man in this novel returns to the United States and gets a hundred miles of land from a drunken man. (*) Shreve narrates parts of this novel set in a cold Harvard bedroom. Henry murders Charles Bon to prevent him from marrying Judith in this novel narrated by Rosa Coldfield and Quentin Compson. For 10 points, name this biblically titled novel about the life of Thomas Sutpen, a work of William Faulkner.","Absalom, Absalom!; Absalom, Absalom; Absalom Absalom;Absalom Absalom!",3,Absalom
37,"A notable academic paper about these animals begins with the line “This is the history of a crackpot idea.” A Harvard-MIT prank allegedly involved a man in a striped shirt feeding these animals. Nikola Tesla nursed a sick one of these animals and claimed he “loved her as a man loves a woman, and she loved me.” (*) A 1948 study induced “superstitions” in these animals which included turning around and bobbing their heads. One psychologist taught these animals to play ping-pong, and planned to have them guide missiles in Project Orcon. That man was B. F. Skinner. For 10 points, name these city-dwelling birds.",pigeons;pigeon,2,bird;birds
